ID,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,health,absences,G1,G2,G3,curso,alcohol
14,GP,M,15,U,GT3,T,higher education,secondary education,teacher,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,3,2,10,10,11,mat,No
15,GP,M,15,U,GT3,A,5th to 9th grade,5th to 9th grade,other,other,home,other,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,3,0,14,16,16,mat,No
16,GP,F,16,U,GT3,T,higher education,higher education,health,other,home,mother,<15 min,<2 hours,0,no,yes,no,no,yes,yes,yes,no,4,4,4,2,4,14,14,14,mat,No
17,GP,F,16,U,GT3,T,higher education,higher education,services,services,reputation,mother,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,2,6,13,14,14,mat,No
18,GP,F,16,U,GT3,T,secondary education,secondary education,other,other,reputation,mother,30 min to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,4,4,8,10,10,mat,No
19,GP,M,17,U,GT3,T,secondary education,5th to 9th grade,services,services,course,mother,<15 min,<2 hours,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,5,16,6,5,5,mat,Si
20,GP,M,16,U,LE3,T,higher education,secondary education,health,other,home,father,<15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,5,4,8,10,10,mat,No
21,GP,M,15,U,GT3,T,higher education,secondary education,teacher,other,reputation,mother,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,0,13,14,15,mat,No
22,GP,M,15,U,GT3,T,higher education,higher education,health,health,other,father,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,5,0,12,15,15,mat,No
23,GP,M,16,U,LE3,T,higher education,5th to 9th grade,teacher,other,course,mother,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,4,5,1,5,2,15,15,16,mat,No
24,GP,M,16,U,LE3,T,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,5,0,13,13,12,mat,Si
25,GP,F,15,R,GT3,T,5th to 9th grade,higher education,services,health,course,mother,<15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,5,2,10,9,8,mat,No
26,GP,F,16,U,GT3,T,5th to 9th grade,5th to 9th grade,services,services,home,mother,<15 min,<2 hours,2,no,yes,yes,no,no,yes,yes,no,1,2,2,5,14,6,9,8,mat,No
27,GP,M,15,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,5,2,12,12,11,mat,No
28,GP,M,15,U,GT3,T,higher education,5th to 9th grade,health,services,other,mother,<15 min,<2 hours,0,no,no,yes,no,yes,yes,yes,no,2,2,4,1,4,15,16,15,mat,Si
29,GP,M,16,U,LE3,A,secondary education,higher education,services,other,home,mother,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,5,4,11,11,11,mat,No
30,GP,M,16,U,GT3,T,higher education,higher education,teacher,teacher,home,mother,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,16,10,12,11,mat,Si
31,GP,M,15,U,GT3,T,higher education,higher education,health,services,home,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,5,4,2,5,0,9,11,12,mat,Si
32,GP,M,15,U,GT3,T,higher education,higher education,services,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,5,0,17,16,17,mat,No
33,GP,M,15,R,GT3,T,higher education,secondary education,teacher,at_home,course,mother,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,5,0,17,16,16,mat,No
34,GP,M,15,U,LE3,T,secondary education,secondary education,other,other,course,mother,<15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,5,3,2,2,0,8,10,12,mat,No
35,GP,M,16,U,GT3,T,secondary education,5th to 9th grade,other,other,home,mother,<15 min,<2 hours,0,no,yes,yes,no,no,yes,yes,no,5,4,3,5,0,12,14,15,mat,No
36,GP,F,15,U,GT3,T,5th to 9th grade,secondary education,other,other,other,father,15 to 30 min.,<2 hours,0,no,yes,no,yes,yes,yes,no,no,3,5,1,5,0,8,7,6,mat,No
37,GP,M,15,U,LE3,T,higher education,secondary education,teacher,services,home,mother,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,4,2,15,16,18,mat,No
38,GP,M,16,R,GT3,A,higher education,higher education,other,teacher,reputation,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,5,7,15,16,15,mat,No
39,GP,F,15,R,GT3,T,secondary education,higher education,services,health,course,mother,<15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,5,2,12,12,11,mat,No
40,GP,F,15,R,GT3,T,5th to 9th grade,5th to 9th grade,at_home,other,reputation,mother,<15 min,<2 hours,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,2,8,14,13,13,mat,No
41,GP,F,16,U,LE3,T,5th to 9th grade,5th to 9th grade,other,other,home,mother,15 to 30 min.,2 to 5 hours,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,3,25,7,10,11,mat,No
42,GP,M,15,U,LE3,T,higher education,higher education,teacher,other,home,other,<15 min,<2 hours,0,no,yes,no,no,no,yes,yes,yes,5,4,3,5,8,12,12,12,mat,Si
43,GP,M,15,U,GT3,T,higher education,higher education,services,teacher,course,father,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,5,2,19,18,18,mat,No
44,GP,M,15,U,GT3,T,5th to 9th grade,5th to 9th grade,services,services,course,father,<15 min,<2 hours,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,0,8,8,11,mat,No
45,GP,F,16,U,LE3,T,5th to 9th grade,5th to 9th grade,other,at_home,course,father,15 to 30 min.,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,5,14,10,10,9,mat,No
46,GP,F,15,U,LE3,A,higher education,secondary education,other,other,course,mother,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,5,8,8,8,6,mat,No
47,GP,F,16,U,LE3,A,secondary education,secondary education,other,services,home,mother,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,3,5,3,12,11,12,11,mat,No
48,GP,M,16,U,GT3,T,higher education,secondary education,health,services,reputation,mother,<15 min,>10 hours,0,no,no,no,yes,yes,yes,yes,no,4,2,2,2,4,19,19,20,mat,No
49,GP,M,15,U,GT3,T,higher education,5th to 9th grade,teacher,other,home,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,4,3,3,5,2,15,15,14,mat,No
50,GP,F,15,U,GT3,T,higher education,higher education,services,teacher,other,father,<15 min,2 to 5 hours,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,3,2,7,7,7,mat,No
51,GP,F,16,U,LE3,T,5th to 9th grade,5th to 9th grade,services,services,course,mother,30 min to 1 hour,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,4,2,12,13,13,mat,No
52,GP,F,15,U,LE3,T,higher education,5th to 9th grade,health,other,other,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,5,2,11,13,13,mat,No
53,GP,M,15,U,LE3,A,higher education,5th to 9th grade,health,health,other,father,15 to 30 min.,<2 hours,1,no,no,no,no,yes,yes,no,no,5,5,5,5,6,11,11,10,mat,Si
54,GP,F,15,U,GT3,T,higher education,higher education,services,services,course,mother,<15 min,<2 hours,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,5,0,8,10,11,mat,No
55,GP,F,15,U,LE3,A,secondary education,secondary education,other,other,other,mother,<15 min,<2 hours,0,no,no,yes,no,yes,yes,yes,no,5,3,4,1,6,10,13,13,mat,Si
56,GP,F,16,U,GT3,A,5th to 9th grade,primary education (4th grade),other,other,other,mother,<15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,2,8,8,9,10,mat,No
57,GP,F,15,U,GT3,A,higher education,secondary education,services,services,reputation,mother,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,0,14,15,15,mat,No
58,GP,M,15,U,GT3,T,higher education,higher education,teacher,health,reputation,mother,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,3,2,2,5,4,14,15,15,mat,No
59,GP,M,15,U,LE3,T,primary education (4th grade),5th to 9th grade,other,at_home,home,father,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,5,2,9,10,9,mat,No
60,GP,F,16,U,GT3,T,higher education,5th to 9th grade,services,other,course,mother,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,2,3,5,2,15,16,16,mat,No
61,GP,F,16,R,GT3,T,higher education,higher education,health,teacher,other,mother,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,2,4,4,4,6,10,11,11,mat,No
62,GP,F,16,U,GT3,T,primary education (4th grade),primary education (4th grade),services,services,course,father,>1 hour,<2 hours,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,6,10,8,11,mat,Si
63,GP,F,16,U,LE3,T,primary education (4th grade),5th to 9th grade,other,services,reputation,father,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,4,8,10,9,mat,No
64,GP,F,16,U,GT3,T,higher education,secondary education,teacher,health,home,mother,<15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,4,2,10,9,9,mat,Si
65,GP,F,15,U,LE3,T,higher education,secondary education,services,services,reputation,father,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,0,10,10,10,mat,Si
66,GP,F,16,U,LE3,T,higher education,secondary education,teacher,services,course,mother,30 min to 1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,16,15,15,mat,No
67,GP,M,15,U,GT3,A,higher education,higher education,other,services,reputation,mother,<15 min,>10 hours,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,3,4,13,13,12,mat,Si
68,GP,F,16,U,GT3,T,secondary education,primary education (4th grade),services,other,course,mother,<15 min,>10 hours,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,5,4,7,7,6,mat,No
69,GP,F,15,R,LE3,T,5th to 9th grade,5th to 9th grade,health,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,4,2,8,9,8,mat,No
70,GP,F,15,R,LE3,T,secondary education,primary education (4th grade),other,other,reputation,father,15 to 30 min.,>10 hours,0,no,yes,no,no,no,yes,yes,no,4,4,2,3,12,16,16,16,mat,No
71,GP,M,16,U,GT3,T,secondary education,primary education (4th grade),other,other,reputation,father,15 to 30 min.,>10 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,5,0,13,15,15,mat,No
72,GP,M,15,U,GT3,T,higher education,5th to 9th grade,other,other,course,mother,<15 min,>10 hours,0,no,no,no,no,yes,yes,yes,no,3,3,3,3,0,10,10,10,mat,No
73,GP,F,15,R,GT3,T,primary education (4th grade),primary education (4th grade),other,other,reputation,mother,<15 min,2 to 5 hours,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,5,2,8,6,5,mat,Si
74,GP,M,16,U,GT3,T,secondary education,primary education (4th grade),other,other,reputation,mother,<15 min,<2 hours,0,no,no,no,yes,yes,yes,no,no,5,3,2,5,2,12,12,14,mat,No
75,GP,F,16,U,GT3,T,secondary education,secondary education,other,services,home,mother,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,5,54,11,12,11,mat,Si
76,GP,M,15,U,GT3,T,higher education,secondary education,teacher,other,home,mother,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,5,6,9,9,10,mat,No
77,GP,M,15,U,GT3,T,higher education,None,teacher,other,course,mother,15 to 30 min.,>10 hours,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,8,11,11,10,mat,No
78,GP,F,16,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,<15 min,>10 hours,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,3,0,11,11,11,mat,No
79,GP,M,17,U,GT3,T,5th to 9th grade,primary education (4th grade),other,other,home,mother,15 to 30 min.,<2 hours,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,3,2,8,8,10,mat,No
80,GP,F,16,U,GT3,T,secondary education,higher education,at_home,other,course,mother,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,4,3,3,12,5,5,5,mat,No
81,GP,M,15,U,GT3,T,5th to 9th grade,secondary education,other,services,course,father,<15 min,<2 hours,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,3,2,10,12,12,mat,No
82,GP,M,15,U,GT3,T,5th to 9th grade,secondary education,other,other,home,mother,<15 min,5 to 10 hours,0,yes,no,yes,no,no,yes,yes,no,5,3,2,5,4,11,10,11,mat,No
83,GP,F,15,U,LE3,T,secondary education,5th to 9th grade,services,other,reputation,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,5,10,7,6,6,mat,No
84,GP,M,15,U,LE3,T,5th to 9th grade,5th to 9th grade,services,services,home,mother,15 to 30 min.,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,4,4,15,15,15,mat,No
85,GP,F,15,U,GT3,T,primary education (4th grade),primary education (4th grade),other,other,home,father,<15 min,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,no,4,3,2,4,2,9,10,10,mat,No
86,GP,F,15,U,GT3,T,higher education,higher education,services,services,reputation,father,15 to 30 min.,2 to 5 hours,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,5,6,7,9,8,mat,No
87,GP,F,16,U,LE3,T,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,3,4,2,4,8,7,6,mat,No
88,GP,F,15,U,GT3,T,higher education,5th to 9th grade,other,other,reputation,mother,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,4,13,14,14,mat,No
89,GP,M,16,U,GT3,T,5th to 9th grade,5th to 9th grade,services,other,reputation,father,15 to 30 min.,2 to 5 hours,1,no,no,yes,yes,no,yes,yes,no,4,4,2,3,12,11,10,10,mat,No
90,GP,M,16,U,LE3,A,higher education,higher education,teacher,health,reputation,mother,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,1,3,5,18,8,6,7,mat,Si
91,GP,F,16,U,GT3,T,secondary education,secondary education,other,other,home,mother,<15 min,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,4,0,7,7,8,mat,No
92,GP,F,15,U,GT3,T,higher education,secondary education,services,other,reputation,mother,<15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,4,16,17,18,mat,No
93,GP,F,16,U,LE3,T,secondary education,primary education (4th grade),other,other,home,father,<15 min,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,4,7,6,6,mat,No
94,GP,F,16,U,GT3,T,higher education,5th to 9th grade,teacher,services,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,0,11,10,10,mat,No
95,GP,M,15,U,LE3,T,5th to 9th grade,5th to 9th grade,services,health,reputation,mother,<15 min,>10 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,4,6,11,13,14,mat,No
96,GP,F,15,R,GT3,T,primary education (4th grade),primary education (4th grade),at_home,other,home,mother,15 to 30 min.,>10 hours,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,2,7,10,10,mat,No
97,GP,M,16,R,GT3,T,higher education,secondary education,services,other,reputation,mother,15 to 30 min.,<2 hours,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,4,2,11,15,15,mat,No
98,GP,F,16,U,GT3,T,5th to 9th grade,primary education (4th grade),other,other,course,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,5,2,8,9,10,mat,No
99,GP,F,16,U,GT3,T,higher education,higher education,other,other,reputation,mother,<15 min,<2 hours,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,6,11,14,14,mat,No
100,GP,F,16,U,GT3,T,higher education,secondary education,other,at_home,course,mother,<15 min,5 to 10 hours,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,3,0,7,9,8,mat,No
101,GP,M,16,U,GT3,T,higher education,higher education,services,services,other,mother,<15 min,<2 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,4,14,7,7,5,mat,Si
102,GP,M,16,U,GT3,T,higher education,higher education,services,teacher,other,father,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,4,0,16,17,17,mat,No
103,GP,M,15,U,GT3,T,higher education,higher education,services,other,course,mother,<15 min,<2 hours,0,no,yes,no,yes,no,yes,yes,no,5,3,3,5,4,10,13,14,mat,No
104,GP,F,15,U,GT3,T,secondary education,5th to 9th grade,services,other,home,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,2,26,7,6,6,mat,No
105,GP,M,15,U,GT3,A,secondary education,higher education,services,other,course,mother,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,0,16,18,18,mat,No
106,GP,F,15,U,GT3,A,secondary education,secondary education,other,health,reputation,father,<15 min,>10 hours,0,yes,no,no,no,yes,yes,no,no,4,3,3,4,10,10,11,11,mat,No
107,GP,F,15,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,course,mother,<15 min,>10 hours,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,3,8,7,8,8,mat,No
108,GP,M,16,U,GT3,T,secondary education,secondary education,services,other,home,father,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,5,2,16,18,18,mat,No
109,GP,M,15,R,GT3,T,higher education,higher education,other,other,home,father,>1 hour,>10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,1,6,10,13,13,mat,Si
110,GP,F,16,U,LE3,T,higher education,higher education,health,health,other,mother,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,4,4,14,15,16,mat,No
111,GP,M,15,U,LE3,A,higher education,higher education,teacher,teacher,course,mother,<15 min,<2 hours,0,no,no,no,yes,yes,yes,yes,no,5,5,3,4,6,18,19,19,mat,No
112,GP,F,16,R,GT3,T,secondary education,secondary education,services,other,reputation,father,<15 min,5 to 10 hours,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,2,0,7,10,10,mat,No
113,GP,F,16,U,GT3,T,5th to 9th grade,5th to 9th grade,at_home,other,home,mother,<15 min,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,5,6,10,13,13,mat,No
114,GP,M,15,U,LE3,T,higher education,5th to 9th grade,teacher,other,course,mother,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,3,5,2,3,10,18,19,19,mat,No
115,GP,M,15,R,GT3,T,5th to 9th grade,primary education (4th grade),health,services,reputation,mother,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,5,8,9,9,9,mat,No
116,GP,M,16,U,GT3,T,higher education,higher education,teacher,teacher,course,father,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,5,2,15,15,16,mat,No
117,GP,M,15,U,GT3,T,higher education,higher education,other,teacher,reputation,father,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,4,4,3,2,2,11,13,14,mat,No
118,GP,M,16,U,GT3,T,secondary education,secondary education,other,services,home,father,15 to 30 min.,<2 hours,0,no,no,no,yes,yes,yes,yes,no,5,4,2,5,0,13,14,13,mat,No
119,GP,M,17,R,GT3,T,primary education (4th grade),secondary education,other,other,course,father,30 min to 1 hour,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,5,20,9,7,8,mat,No
120,GP,M,15,U,GT3,T,secondary education,higher education,other,other,reputation,father,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,3,4,3,4,6,14,13,13,mat,No
121,GP,F,15,U,GT3,T,primary education (4th grade),5th to 9th grade,at_home,services,course,mother,<15 min,2 to 5 hours,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,16,15,15,mat,No
122,GP,M,15,U,GT3,T,5th to 9th grade,5th to 9th grade,services,services,home,father,<15 min,>10 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,5,6,16,14,15,mat,No
123,GP,F,16,U,LE3,T,5th to 9th grade,higher education,other,health,course,father,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,5,2,13,13,13,mat,No
124,GP,M,16,U,GT3,T,higher education,higher education,health,other,course,mother,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,5,18,14,11,13,mat,No
125,GP,F,16,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,5,0,8,7,8,mat,No
126,GP,M,15,U,GT3,T,secondary education,higher education,services,services,home,father,<15 min,<2 hours,0,yes,no,no,no,yes,yes,yes,no,5,5,5,5,0,13,13,12,mat,Si
127,GP,F,15,U,LE3,A,secondary education,higher education,other,other,home,mother,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,0,7,10,11,mat,No
128,GP,F,19,U,GT3,T,None,primary education (4th grade),at_home,other,course,other,<15 min,2 to 5 hours,3,no,yes,no,no,no,no,no,no,3,4,2,5,2,7,8,9,mat,No
129,GP,M,18,R,GT3,T,5th to 9th grade,5th to 9th grade,services,other,reputation,mother,<15 min,<2 hours,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,4,0,7,4,0,mat,No
130,GP,M,16,R,GT3,T,higher education,higher education,teacher,teacher,course,mother,<15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,4,8,18,18,18,mat,Si
131,GP,F,15,R,GT3,T,secondary education,higher education,services,teacher,course,father,15 to 30 min.,5 to 10 hours,2,no,yes,no,no,yes,yes,yes,yes,4,2,2,5,0,12,0,0,mat,No
132,GP,F,15,U,GT3,T,primary education (4th grade),primary education (4th grade),at_home,other,course,mother,30 min to 1 hour,<2 hours,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,4,0,8,0,0,mat,No
133,GP,F,17,U,LE3,T,5th to 9th grade,5th to 9th grade,other,other,course,father,<15 min,<2 hours,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,5,12,10,13,12,mat,No
134,GP,F,16,U,GT3,A,secondary education,higher education,services,other,course,father,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,3,2,1,5,16,12,11,11,mat,No
135,GP,M,15,R,GT3,T,secondary education,higher education,at_home,teacher,course,mother,>1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,no,yes,5,3,3,5,0,9,0,0,mat,No
136,GP,F,15,U,GT3,T,higher education,higher education,services,at_home,course,mother,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,5,0,11,0,0,mat,No
137,GP,M,17,R,GT3,T,secondary education,higher education,at_home,other,course,mother,30 min to 1 hour,2 to 5 hours,0,no,no,no,no,yes,yes,no,no,5,4,5,5,0,10,0,0,mat,Si
138,GP,F,16,U,GT3,A,secondary education,secondary education,other,other,course,other,15 to 30 min.,<2 hours,2,no,yes,no,yes,no,yes,yes,yes,4,3,2,5,0,4,0,0,mat,No
139,GP,M,16,U,LE3,T,primary education (4th grade),primary education (4th grade),services,other,course,mother,<15 min,2 to 5 hours,1,no,no,no,no,yes,yes,no,yes,4,4,4,5,0,14,12,12,mat,No
140,GP,F,15,U,GT3,T,higher education,higher education,teacher,teacher,course,mother,15 to 30 min.,<2 hours,0,no,no,no,yes,yes,yes,yes,no,4,3,2,5,0,16,16,15,mat,No
141,GP,M,15,U,GT3,T,higher education,secondary education,teacher,services,course,father,15 to 30 min.,>10 hours,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,3,0,7,9,0,mat,No
